position_title;required_skills
Commercial Contracts Lawyer;['negotiation', 'stakeholder management', 'procurement', 'interpersonal skills', 'customer/sales agreements', 'independent work', 'project management', 'cross-functional collaboration', 'ndas', 'msas', 'business judgment', 'client advisory', 'commercial contracts']
Commercial Counsel;['legal commercial team leadership', 'multiparty ecosystems (preferred)', 'legal systems and processes improvement', 'strategic business advising', 'in-house commercial counsel experience', 'data agreements expertise', 'legal department management (preferred)', 'technology agreements expertise', 'law firm experience', 'complex commercial agreements negotiation', 'data privacy understanding', 'high volume deal management (preferred)', 'enterprise tech deals (preferred)']
Commercial Litigation Attorney;['legal case handling', 'state court litigation', 'litigation']
Commercial Real Estate Agent;['negotiation', 'sales', 'research', 'networking', 'relationship building', 'marketing', 'prospecting', 'communication skills', 'computer skills', 'client advisory', 'presentation skills']
Commercial Real Estate Attorney;['negotiation', 'written communication', 'business development', 'client rapport building', 'financings', 'dispositions', 'drafting legal documents', 'legal advising', 'acquisitions', 'analytical skills', 'commercial leases', 'problem-solving skills', 'verbal communication', 'joint ventures', 'closing facilitation']
Compliance;['compliance initiatives development', 'report preparation', 'legal knowledge (healthcare/pbm)', 'compliance consulting', 'risk assessment', 'coaching', 'compliance knowledge (healthcare/pbm)', 'corrective action planning', 'subject matter expertise', 'process mapping', 'compliance monitoring', 'policy governance', 'investigation', 'medicaid regulations', 'regulatory compliance', 'aca regulations', 'leadership', 'medicare regulations', 'presentation skills', 'compliance risk assessments', 'audits', 'project management', 'auditing', 'compliance procedures']
Compliance Officer;['anti-money laundering (aml)', 'knowledge of banking products & services', 'interpersonal skills', 'investigation', 'problem solving', 'transaction analysis', 'report writing (sars)', 'knowledge of bank operations', 'risk assessment', 'analytical skills', 'suspicious activity detection', 'data analysis', 'pc proficiency (word, excel)', 'communication (verbal & written)']
Construction;['engineering', 'adobe', 'safety standards', 'quality control', 'cost management', 'project management', 'estimating', 'planning', 'microsoft office', 'scheduling', 'supervision', 'site visits', 'osha']
Construction Project Manager;['interpersonal skills', 'cost estimation', 'autocad proficiency', 'budget tracking', 'site inspection', 'ability to travel', 'lease negotiation', 'onsite operations management', 'invoice management', 'product drawings', 'supervisory skills', 'sketching', 'project oversight', 'procore', 'multitasking', 'estimating (preferred)', 'blueprint reading', 'estimation', 'windows operating systems proficiency', 'organization', 'osha 30 (preferred)', 'google drive', 'safety compliance', 'plan reading', 'bidding', 'budgeting', 'customer service skills', 'estimating software proficiency', 'attention to detail', 'payment request review', 'procurement', 'construction practices', 'ms office proficiency', 'project closeout', 'timeline management', 'negotiation', 'documentation', 'relationship building', 'building standards', 'change order review', 'coordination', 'construction documentation', 'report preparation', 'rfi review', 'quality control', 'subcontractor management', 'vendor management', 'mechanical systems design', 'document control', 'communication', 'construction methods', 'submittal process management', 'risk management', 'pmp certification (preferred)', 'contractor coordination', 'problem solving', 'construction document comprehension', 'scheduling', 'supervision', 'communication skills', 'time management', 'financial management', 'drafting (autocad)', 'leed accreditation (preferred)', 'ability to relocate', 'ms project', 'detail orientation', 'microsoft office', 'travel & lodging logistics', 'field resource management', 'sales support', 'rfi/rfq generation', 'scope of work management', 'financial reconciliation', 'client communication', 'construction knowledge', 'change order management', 'ms project proficiency', 'written communication', 'construction terminology', 'project management', 'architectural drawings', 'schedule management']
Content Creator;['team leadership', 'marketing strategy', 'brand ambassador management', 'independent work', 'data analysis', 'social media marketing', 'research', 'microsoft office proficiency', 'seo', 'dslr/mirrorless cameras', 'interviewing', 'organizational skills', 'storytelling', 'email marketing', 'user feedback analysis', 'proofreading', 'editing', 'collaboration', 'video editing', 'videography', 'photography', 'marketing campaign management', 'content creation', 'editing software', 'event strategy', 'time management', 'writing', 'creator relations', 'social media', 'budget management']
Financial Analyst;['financial analysis', 'self-starter', 'financial statement preparation', 'excel', 'sage timberline', 'general ledger accounting', 'budgeting', 'deadline-oriented', 'kpi reporting', 'gaap principles', 'team player', 'intercompany reconciliation', 'advanced excel skills', 'financial modeling', 'detail-oriented', 'communication skills', 'month end close', 'account reconciliation', 'math/accounting skills']
Corporate Development Associate;['donor stewardship', 'sponsor benefit fulfillment', 'corporate sponsorship', 'written communication', 'funding proposal preparation', 'prospect development', 'database management', 'project management', 'crm (preferred)', 'diplomacy', 'meeting coordination', 'verbal communication', 'fundraising (preferred)', 'administrative support', 'interpersonal communication', 'collaboration', 'event coordination']
Corporate Recruiter;['dice', 'interpersonal skills', 'linkedin', 'independent work', 'indeed', 'talent pooling', 'data management/reporting', 'market mapping', 'fast-paced environment adaptability', 'consultative partnering', 'recruiting best practices', 'organization', 'candidate screening', 'communication', 'networking', 'job description development', 'applicant tracking systems (ats)', 'icims (plus)', 'closing skills', 'collaboration tools', 'diversity and inclusion sourcing', 'candidate sourcing', 'github', 'technical recruiting (preferred)', 'full-cycle recruiting', 'sourcing', 'negotiation skills', 'negotiation', 'interview process management', 'recruiting', 'ats systems (lever)', 'passive candidate sourcing', 'job specification development', 'seekout', 'project management', 'customer focus', 'staffing', 'communication skills', 'consulting skills', 'communication (written & verbal)', 'competitor analysis', 'multitasking', 'social media recruiting']
Credit Collections;['team leadership', 'prioritization', 'supervisory skills', 'dso improvement', 'accounts receivable', 'credit collection', 'communication skills (verbal and written)', 'policy development', 'credit evaluation', 'problem-solving skills', 'credit limit establishment', 'outlook', 'management', 'excel', 'word', 'negotiation skills']
Criminal Investigator;['law enforcement skills', 'tax fraud investigation', 'cybercrimes investigation', 'case strategy development', 'record organization', 'witness management', 'financial investigative expertise', 'suspect interviewing', 'witness interviewing', 'criminal investigation', 'interviewing', 'public corruption investigation', 'record keeping', 'fraud investigation (optional)', 'evidence gathering', 'policy/procedure investigation (optional)', 'accounting skills', 'case review', 'social history investigation', 'narcotics investigation', 'collaboration', 'presentation skills', 'report writing', 'terrorism investigation']
Customer Care;['organization', 'problem solving', 'claims processing', 'adaptability', 'communication (phone/email)', 'learning agility', 'empathy', 'multitasking', 'policy maintenance', 'customer service']
Customer Care Representative;['accountability', 'problem solving', 'conflict resolution', 'communication skills', 'computer skills', 'teamwork', 'multitasking', 'customer service']
Customer Experience;['communication', 'problem solving', 'project management', 'customer relationship management', 'technical support', 'collaboration', 'customer service']
Customer Experience Business Process;['risk mitigation', 'resourcefulness', 'prioritization', 'proficient in office suite (word, excel, powerpoint)', 'interpersonal skills', 'full project lifecycle management', 'project management', 'organizational skills', 'analytical skills', 'coordination', 'communication skills (written & spoken english)', 'timeline management', 'budget management']
Customer Experience Specialist;['hipaa compliance', 'technical proficiency', 'problem solving', 'typing (40 wpm)', 'conflict resolution', 'communication (high level, under stress)', 'adaptability', 'customer de-escalation', 'empathy', 'customer service', 'patient advocacy']
Customer Service Agent;['travel knowledge', 'communication', 'problem solving', 'record keeping', 'vendor management', 'customer service']
Customer Service Associate;['account management', 'communication', 'problem solving', 'information gathering', 'customer service']
Customer Service Associate Expert;['sales', 'account management', 'communication', 'problem solving', 'customer service', 'windows', 'debt collection']
Customer Service Liaison;['negotiation', 'problem-solving', 'microsoft office proficiency', 'conflict resolution', 'computer navigation', 'active listening', 'communication skills', 'time management', 'multitasking', 'customer service']
Customer Service Professional;['attention to detail', 'sales (upselling)', 'interpersonal skills', 'problem solving', 'documentation', 'customer service', 'multitasking', 'communication (verbal and written)']
Customer Service Representative;['flexibility', 'sales', 'interpersonal skills', 'product knowledge', 'order care processes (preferred)', 'communication (voice chat)', 'adaptability', 'marketing', 'critical thinking', 'empathy', 'fast-paced environment adaptability', 'communication (email)', 'team management', 'email support', 'teamwork', 'teamwork (ability to work independently and in a team)', 'customer support', 'listening', 'project monitoring', 'planning', 'rapport building', 'multitasking', 'sfdc servicemax (preferred)', 'troubleshooting', 'administrative tasks', 'ms office suite', 'healthcare communication', 'phone skills', 'phone support', 'record keeping', 'research skills', 'information retrieval', 'trend tracking', 'issue resolution', 'customer interaction record maintenance', 'case resolution', 'attention to detail', 'crm system skills', 'handling routine tasks', 'payment processing', 'ms office proficiency', 'negotiation', 'prioritization', 'documentation', 'transaction processing', 'analytical skills', 'typing (45+ wpm)', 'closing deals', 'coordination', 'phone communication', 'observation', 'system navigation', 'knowledge base development', 'communication', 'appointment scheduling', 'multilingual (english and spanish)', 'returns processing', 'depot repair equipment troubleshooting (preferred)', 'order fulfillment', 'feedback analysis', 'emotional resilience', 'metrics management', 'ols (preferred)', 'customer inquiry response', 'problem solving', 'follow-up', 'talkdesk (preferred)', 'atlas erp (preferred)', 'closing sales', 'professionalism', 'leasing/billing software (preferred)', 'typing', 'customer satisfaction', 'judgment', 'detail oriented', 'calculation', 'online communication', 'initial screening', 'percentage calculation', 'persuasion', 'communication skills', 'time management', 'delivery coordination', 'fax communication', 'salesforce (preferred)', 'calmness under pressure', 'interpretation', 'computer skills', 'typing (fast and accurate)', 'clinical data collection', 'customer service process improvement', 'organizational skills', 'inventory control', 'lead generation', 'customer relations', 'call handling', 'order processing', 'basic math', 'written communication', 'shipping procedures', 'confidentiality', 'customer focus', 'data entry', 'medication prior authorization', 'estimate preparation']
Customer Service Sales;['sales', 'communication', 'computer literacy', 'inventory management', 'product knowledge', 'needs assessment', 'pressure management', 'safety procedures', 'active listening', 'recommendation skills', 'cleanliness', 'rapport building', 'customer needs assessment', 'multitasking', 'customer service']
Customer Service Sales Associate;['sales', 'accountability', 'relationship building', 'objection handling', 'initiative', 'upselling', 'multitasking', 'customer service', 'ownership', 'communication skills (oral and written)']
Customer Support;['organization', 'pc skills', 'internet skills', 'crm skills', 'data entry', 'filing', 'microsoft excel', 'active listening', 'reporting', 'time management', 'customer service', 'typing (55 wpm)']
Data Analyst;['data science', 'data exploration', 'excel', 'data transformation', 'data analysis', 'tableau', 'coaching', 'looker', 'data project leadership', 'business intelligence', 'data management', 'google data studio', 'user experience enhancement', 'statistical analysis', 'relationship management', 'technology solutions implementation', 'billing compliance', 'team supervision', 'visualization', 'github', 'reporting', 'sql', 'powerbi', 'statistical reporting', 'dashboarding', 'training', 'reporting metrics development', 'analytics', 'hiring', 'recruiting', 'building analytics platforms', 'business analysis', 'data centralization', 'data democratization', 'python', 'quality assurance (qa)']
Data Analytics Manager;['etl-based data processing', 'etl tools', 'data architecture', 'big data analytics', 'programming in complex systems', 'relational databases', 'consensus building', 'data warehousing', 'real-time data processing', 'data visualization', 'data analysis', 'data collection']
Data Entry;['report generation', 'spanish language (optional)', 'regulatory knowledge', 'spreadsheet management', 'spreadsheet software (optional)', 'typing speed (50+ kph)', 'data verification', 'administrative tasks', 'excel', 'data analysis', 'online store backends', 'judgment and decision making', 'keystroke input', 'research', 'data maintenance', 'loan documentation', 'organizational skills', 'math skills', 'microsoft office suite', 'handling customer requests', 'accuracy (99%)', 'english language proficiency', 'target list management', 'motivational skills', 'answering phones', 'meeting deadlines', 'working under pressure', 'crm (customer relationship management)', 'prioritization', 'documentation', 'accounting principles', 'office tasks', 'data entry', 'analytical skills', 'communication skills', 'crm/erp system', 'multitasking', 'customer service']
Data Entry Auditor;['attention to detail', 'research', 'problem solving', 'data entry', 'reporting', 'communication skills', 'excel', 'accuracy', 'auditing', 'tech-savvy', 'multitasking']
Data Entry Clerk;['instruction following', 'following instructions', 'computer literacy', 'independent work', 'accuracy', 'administrative tasks', 'internet access', 'formatting', 'communication (verbal & written)', 'webcam/smartphone camera operation', 'feedback provision', 'application review', 'typing skills', 'attention to detail', 'basic english reading', 'survey participation', 'submission', 'product testing', 'information compilation', 'clerical skills', 'basic pc skills', 'data entry', 'communication skills', 'data discrepancy identification', 'customer service']
Data Entry Operator;['typing', 'written communication', 'attention to detail', 'computer literacy', 'self-motivation', 'independent work', 'database management', 'data entry', 'office management software (ms office, google suite)', 'data capturing', 'filing systems (digital/paper)', 'product review', 'verbal communication', 'information entry', 'customer service', 'social media']
Data Management Analyst;['system issue management', 'data capture', 'issue analysis', 'workgroup facilitation', 'end user support', 'reporting', 'data management', 'meeting facilitation', 'report writing', 'ticketing systems', 'emr/ehr applications', 'solution development']
Data Security Vice President;['ueba model development', 'ueba platform deployment', 'ueba (user and entity behavior analytics)', 'exabeam ueba technology', 'ueba rule creation', 'use case translation into ueba rules', 'siem tools (splunk)', 'dashboard creation']
Deputy Clerk;['interpersonal skills', 'writing skills', 'case management', 'web applications skills', 'office procedures', 'computer software skills', 'document management', 'communication skills', 'time management', 'research skills', 'teamwork', 'customer service skills']
Development;['solicitation', 'donor database management', 'interpersonal skills', 'gift accounting', 'donor cultivation', 'communication', 'financial record keeping', 'proposal writing', 'annual campaigns', 'event planning', 'major gift solicitation', 'fundraising', 'donor stewardship', 'public speaking', 'funder relations', 'stakeholder engagement', 'leadership', 'grant writing', 'presentation skills', 'communication skills (oral & written)', 'prospect research', 'relationship building', 'capital campaigns', 'crm']
Development Associate;['financial analysis', 'zoom', 'construction', 'administrative skills', 'marketing', 'excel', 'meeting preparation', 'administrative tasks', 'outlook', 'crm management (salesforce)', 'verbal communication', 'note taking', 'microsoft teams', 'ms office', 'research', 'leasing', 'financial skills', 'programming', 'calendar management', 'agenda development', 'proposal writing', 'event planning', 'real estate development', 'organizational skills', 'site acquisition', 'contracts', 'word', 'fundraising', 'donor relationship management', 'administrative support', 'decision-making', 'proposal review', 'problem-solving', 'underwriting', 'cost reporting', 'partnership development', 'editing', 'design', 'scheduling', 'presentation skills', 'grant writing', 'travel management', 'written communication', 'stakeholder management', 'project management', 'detail-oriented', 'finance', 'analytical skills', 'salesforce', 'time management', 'soliciting donations', 'writing', 'budget management']
Operations Coordinator;['attention to detail', 'prioritization', 'communication', 'business systems proficiency', 'problem solving', 'customer focus', 'urgency', 'technology proficiency', 'adaptability', 'time management', 'teamwork', 'multitasking']
Digital Development Project;['team leadership', 'stakeholder management', 'digital marketing', 'workflow optimization', 'communication', 'problem solving', 'marketing technology', 'project management', 'resource allocation', 'agile methodologies', 'delivery planning']
Digital Marketing;['digital marketing', 'cms', 'programmatic advertising', 'content strategy', 'website promotion', 'campaign optimization', 'digital strategy', 'elementor', 'data analysis', 'strategic thinking', 'email campaign management', 'wordpress', 'canva', 'communication', 'ux', 'seo', 'google ads', 'account-based marketing (abm)', 'marketing automation', 'social media promotion', 'email marketing', 'sem', 'problem-solving', 'marketing communications', 'google analytics', 'paid social', 'collaboration', 'paid search', 'presentation skills', 'content creation', 'affiliate marketing', 'project management', 'crm', 'social media management', 'web design', 'time management', 'pay-per-click (ppc)', 'landing page design']
Digital Marketing Internship;['wordpress', 'video creation', 'digital marketing', 'twitter', 'communication', 'content creation', 'audience engagement', 'social media management platforms (e.g., hootsuite)', 'facebook', 'social media management', 'instagram', 'content marketing', 'writing', 'influencer marketing']
Digital Marketing Sales;['client skill assessment', 'franchise research', 'communication skills', 'consulting skills']
Direct Support Professional;['driving (potentially)', 'working with individuals with special needs', 'job coaching', 'documentation', 'facilitation (group and individual)']
Dishwasher;['sanitation procedures', 'equipment operation', 'dishwashing', 'safety procedures', 'kitchen maintenance', 'sanitizing', 'cleaning', 'chemical handling']
Dishwasher/Kitchen Cleaner;['cleaning regulations', 'sanitation', 'kitchen cleaning', 'dishwashing', 'health codes']
Diversion Investigator;['investigation', 'regulatory knowledge', 'compliance', 'interviewing', 'report writing', 'consultation', 'communication (written & verbal)', 'guidance', 'data analysis']
Driver;['over-the-road driving', 'safety regulations compliance', 'communication', 'commercial driving', 'transportation laws compliance', 'dot regulations compliance', 'long haul driving', 'truck driving', 'tractor trailer operation', 'class a cdl', 'vehicle inspection', 'freight delivery', 'overnight driving']
Ecommerce Marketing Manager;['digital marketing', 'ecommerce strategy', 'financial forecasting', 'critical thinking', 'communication', 'corporate partnerships', 'growth marketing', 'seo', 'budgeting', 'ecrm', 'email marketing', 'problem-solving', 'lead generation', 'ppc', 'paid social', 'paid media', 'commercial awareness', 'affiliate marketing', 'performance marketing', 'relationship building', 'p&l management', 'project management', 'analytical skills', 'influencer marketing']
E-Commerce Marketing;['analytics', 'ecommerce', 'action planning', 'digital leadership', 'agile team leadership', 'media management', 'kpi management', 'analytical skills', 'content management', 'traffic generation', 'a/b testing', 'copywriting', 'sales management', 'cross-functional team leadership', 'online retail', 'data interpretation']
E-Commerce Operations;['organization', 'attention to detail', 'site optimization', 'prioritization', 'customer journey', 'problem solving', 'digital roadmap', 'ecommerce operations', 'proactive attitude', 'analytical skills', 'communication skills', 'excel', 'data interpretation', 'release calendars', 'data analysis']
E-Commerce Strategist;['java', 'software architecture', 'aws', 'react', 'typescript', 'communication', 'javascript', 'project management', 'node.js', 'software design', 'collaboration', 'python']
E-commerce Project Manager;['third-party applications', 'troubleshooting', 'ecommerce web design', 'shopify', 'development processes', 'sow creation', 'organization', 'ux', 'financial tracking', 'project planning (jira, monday.com)', 'client communication', 'quality assurance testing', 'writing skills', 'problem solving', 'solutioning', 'change order creation', 'relationship building', 'project management', 'detail-oriented', 'communication skills']
E-commerce Specialist;['trend analysis', 'mobile application development', 'it strategy', 'supervisory skills', 'software engineering management', 'project management', 'mobile technologies', 'application management', 'architectural patterns', 'management', 'software quality practices', 'systems management']
Editor;['access', 'grammar', 'communication', 'technical editing', 'quality control', 'proofreading', 'relationship building', 'editing', 'internet', 'microsoft office', 'excel', 'writing', 'outlook', 'word', 'copywriting']
Education Advocate;['work ethic', 'attention to detail', 'social media marketing', 'lead generation', 'social media posting', 'graphic design (bonus)', 'initiative', 'video design (bonus)', 'remote work', 'accuracy', 'content creation (static & video)']
Educational Partnerships;['k-12 education sales', 'sales', 'pipeline management', 'product knowledge', 'partnership acquisition', 'relationship building', 'forecasting', 'reporting', 'sales target achievement', 'travel', 'remote work']
Email Marketing;['email marketing platforms proficiency', 'drip campaign strategy and implementation', 'proofreading', 'editing', 'marketing copywriting', 'esp/cms platforms expertise', 'email marketing']
Embedded C++ Developer;['embedded systems', 'vxworks', 'real-time operating systems (rtos)', 'software integration', 'software implementation', 'ada', 'uml', 'software design', 'software development life cycle (sdlc)', 'c', 'software testing', 'embedded software engineering', 'requirements analysis']
Embedded C++ Software Engineer;['real time operating systems (rtos)', 'communication', 'integration testing', 'coding (c)', 'design', 'process improvement', 'unit testing', 'embedded software engineering', 'requirements analysis']
Enforcement Attorney;['negotiation', 'legal document preparation', 'legal enforcement', 'administrative hearing representation', 'legal writing', 'communication skills', 'knowledge of cplr enforcement', 'legal research', 'knowledge of parking violations', 'knowledge of nys vehicle and traffic law']
Enterprise Sales;['negotiation', 'closing', 'executive sales', 'account management', 'sales', 'sales strategy', 'communication', 'lead generation', 'erp knowledge', 'relationship building', 'hunter sales mentality', 'sales presentations', 'software sales', 'it sales']
Environmental Project;['microsoft word', 'microsoft outlook', 'bustr tiered reporting (tier 1, tier 2, tier 3)', 'environmental regulations compliance (local, regional, state, federal)', 'pdf', 'supervisory skills', 'health and safety implementation & supervision', 'problem solving', 'independent work', 'project management', 'microsoft excel', 'report writing', 'task management', 'remediation', 'report editing', 'microsoft powerpoint', 'environmental site investigation']
Equity Research Associate;['interpersonal skills', 'financial analysis', 'independent work', 'key opinion leader communication', 'valuation', 'medical conference attendance', 'critical thinking', 'excel', 'data analysis', 'fast-paced environment adaptability', 'scientific literature analysis', 'fundamental analysis', 'primary research', 'proprietary research', 'data interpretation (scientific publications, medical conference presentations)', 'communication', 'project conception and execution', 'sales and trading personnel interaction', 'scientific and medical literature interpretation', 'cancer biology knowledge', 'due diligence', 'quantitative analysis', 'company management interaction', 'industry modeling', 'industry expertise', 'immuno-oncology knowledge', 'professional writing', 'teamwork', 'investment research', 'company research', 'relationship management', 'industry research', 'attention to detail', 'biotech/pharma equity research', 'self-motivation', 'writing skills', 'equity research', 'consulting', 'drug pipeline evaluation', 'accounting', 'institutional investor interaction', 'market due diligence', 'deadline management', 'working under pressure', 'sales modeling', 'biotechnology research and analysis', 'collaboration', 'investor relations', 'healthcare/biotech industry', 'creative thinking', 'industry due diligence', 'written communication', 'prioritization', 'earnings analysis', 'financial modeling', 'industry surveys', 'forecasting', 'finance', 'powerpoint', 'report writing', 'analytical skills', 'expert interviews', 'time management', 'industry/company news analysis', 'tech transfer', 'competitive assessment', 'investment banking']
Corporate Finance;['organization', 'communication skills (written and verbal)', 'mathematical skills', 'attention to detail', 'interpersonal skills', 'fp&a modeling', 'forecasting', 'financial analytics', 'scenario analysis', 'analytical skills', 'research skills', 'budgeting', 'financial planning']
Field Placement;['flexibility', 'accreditation and regulatory compliance', 'independent work', 'student placement', 'university supervisor recruitment and management', 'student compliance management', 'relationship building (school districts)', 'preceptor management', 'microsoft office suite', 'listening skills', 'process orientation', 'clinical site management', 'collaboration', 'prioritization', 'confidentiality', 'documentation', 'project management', 'field placement tracking', 'supervisor training', 'multitasking']
Field Sales Account;['solution selling', 'value-based selling', 'negotiation', 'organization', 'sales', 'problem-solving', 'communication', 'analytical skills', 'leadership', 'ms office proficiency', 'crm software proficiency']
File Clerk;['attention to detail', 'communication', 'data entry', 'office equipment', 'record keeping', 'time management', 'filing systems', 'teamwork', 'ms office']
Finance;['negotiation', 'cpa', 'accounting', 'finance', 'vendor management', 'excel', 'cfa', 'ifrs', 'financial close processes', 'us gaap']
Finance Officer;['procedure development', 'financial reporting', 'team management', 'financial analysis', 'supervisory skills', 'forecasting', 'policy development', 'analytical skills', 'financial operations', 'communication skills', 'budgeting', 'financial counsel', 'contract management']
Financial Analyst;['market research', 'financial reporting', 'communication', 'financial analysis', 'networking', 'financial modeling', 'accounting', 'due diligence', 'finance', 'communication skills', 'excel', 'microsoft office', 'budgeting', 'financial planning', 'erp systems', 'presentation skills', 'financial projections']
Financial Business Management;['business management', 'sap', 'strata', 'aria hcm', 'epic', 'business proposal planning', 'word processing', 'excel', 'outlook', 'data analysis', 'financial management', 'contract management', 'budget management']
Financial Officer;['healthcare management', 'cost reduction', 'property/casualty insurance knowledge', 'communication', 'revenue enhancement', 'organizational skills', 'financial performance analysis', 'budgeting', 'risk management', 'teamwork', 'cash flow analysis', 'investment management', 'variance analysis', 'attention to detail', 'financial reporting', 'quantitative skills', 'accounting', 'regulatory compliance', 'leadership', 'financial modeling', 'forecasting', 'long-range planning', 'financial acumen', 'financial leadership', 'communication skills', 'gaap knowledge']
Financial Professional;['organization', 'sales', 'communication', 'accountability', 'detail-oriented', 'relationship building', 'financial acumen', 'time management', 'customer service']
Firmware Tester;['jenkins', 'testrail', 'uart protocol', 'firmware testing', 'circleci', 'github', 'spi protocol', 'jira', 'selenium', 'test automation frameworks', 'confluence', 'android os testing', 'bsp testing', 'appium', 'driver testing', 'usb protocol']
Fitness Trainer;['functional training', 'exercise technique', 'marketing', 'progressing/regressing exercises', 'body mechanics', 'client retention', 'cpr/aed', 'interpersonal communication', 'group training']
Floor Leader;['online order fulfillment', 'merchandising', 'replenishment', 'problem solving', 'operational routines', 'stock management', 'shipment processing', 'markdown execution', 'product management', 'customer service', 'transaction handling']
Fraud Awareness Educator;['microsoft office suite (word, powerpoint, outlook, excel)', 'interpersonal skills', 'financial crimes knowledge', 'schedule creation', 'employee surveys', 'verbal communication', 'data analysis', 'strategic thinking', 'organization', 'self-driven', 'material testing', 'interviewing', 'problem solving', 'proactive', 'written communication', 'prioritization', 'training facilitation', 'project management', 'database management', 'timeline creation', 'communication skills', 'time management', 'multitasking', 'client servicing']
Fraud Investigator;['microsoft word', 'written communication', 'attention to detail', 'suspicious activity reports', 'elder financial exploitation', 'banking systems', 'aps reporting', 'independent work', 'compliance', 'fraud investigation', 'sar filing', 'analytical skills', 'microsoft excel', 'time management', 'risk management', 'verbal communication', 'banking regulations', 'loss mitigation']
Fraud Representative;['attention to detail', 'prioritization', 'fraud detection', 'software proficiency (experian, kiq, fdwc, accurint)', 'risk assessment', 'deadline management', 'data analysis', 'multitasking', 'customer service', 'communication (verbal & written)']
Fraud Resolution Analyst;['dispute resolution', 'fraud detection', 'fraud investigation', 'report writing', 'communication skills', 'customer service', 'ms word']
Fraud Support Representative;['call center operations', 'high-speed internet proficiency', 'fraud detection', 'problem solving', 'card transaction processing', 'phone support', 'data entry', 'communication skills', 'teamwork', 'customer service']
Fraud Systems Analyst;['software specification formulation', 'priority management', 'software development', 'liaison skills (business & it)', 'it solutions alignment', 'diagram creation', 'systems evaluation', 'cost-benefit analysis', 'systems analysis', 'organizational skills', 'customer service skills', 'systems improvement', 'problem solving', 'business process analysis', 'needs assessment', 'analytical skills', 'communication skills', 'flowchart creation', 'coding logic development']
Front-End UI Developer;['react', 'mobile application development', 'css', 'front-end development', 'xhtml', 'component driven architectures', 'javascript', 'jquery', 'code review', 'web standards', 'gulp/webpack', 'html', 'accessibility', 'responsive design', 'git', 'software testing', 'web application development']
Frontend Web Developer;['wordpress', 'frontend web development', 'bootstrap', 'design details', 'typography', 'ui', 'responsive design']
Full Stack Software Engineer;['react', 'webapi', 'entity framework', 'software development', 'html', 'object-oriented programming (java, .net, c, php)', 'high throughput transactional processing systems', 'microservices', 'relational databases (mysql, postgresql)', 'mob programming', 'postgresql', 'bootstrap', 'vue.js', 'mongodb', '.net', 'modular solutions', 'containerized deployments', 'cloud technologies (aws, google cloud)', 'performant solutions', 'docker', 'aws documentdb', 'sql', 'typescript', 'aws aurora', 'scalable solutions', 'javascript', 'service-oriented architecture', 'code reviewing', 'c#', 'css']
Full Stack Web Developer;['php', 'tailwind', 'mandarin (speaking, reading, writing)', 'css', 'javascript', 'react.js', 'linux/bash command', 'bootstrap', 'mysql', 'english (speaking, reading, writing)', 'server-side setup & maintenance', 'html', 'node.js', 'jquery', 'mongodb', 'cloud infrastructure (aws, alibaba cloud, azure)']
Furniture Product Sales Liaison;['furniture knowledge', 'sales incentives', 'furniture sales', 'interior design', 'retail sales', 'coordination', 'sales support']
General Office Clerk;['report generation', 'documentation', 'vendor issue resolution', 'data verification', 'customer relationship management', 'invoice processing', 'customer service', 'account verification']
Global Capital Markets Documentation;['negotiation', 'action-oriented', 'prime services documentation', 'communication', 'self-motivated', 'business acumen', 'organizational skills', 'critical thinking', 'derivatives and trading documentation', 'sound judgment', 'collaboration', 'legal drafting', 'relationship management']
Graphic Designer;['social media platforms', 'architectural spaces', 'ux/ui principles', 'creative content development', 'leadership', 'teamwork', 'adobe creative suite', '3d visualization', 'graphic design']
Grocery Inventory Clerk;['organization', 'attention to detail', 'inventory management', 'stocking', 'customer service']
Growth Marketing;['ecommerce', 'problem solving', 'paid social media marketing', 'affiliate marketing', 'campaign optimization', 'budget management', 'campaign management', 'reporting', 'instagram ads', 'a/b testing', 'data analysis', 'roi analysis', 'multivariate attribution', 'facebook ads']
Educational Administrator;['teaching', 'instructional leadership', 'student progress monitoring', 'communication', 'curriculum knowledge', 'evaluation', 'personnel selection', 'technology skills', 'leadership', 'data analysis', 'budget management']
Human Resource;['recruiting', 'peoplesoft', 'hr best practices', 'influencing skills', 'talent development', 'employee relations', 'compliance', 'employment laws', 'analytical skills', 'communication skills', 'microsoft office', 'problem-solving skills', 'business partnering', 'performance management']
HR Business Partner;['diversity, equity & inclusion', 'decision making', 'interpersonal skills', 'critical thinking', 'people strategy', 'data analysis', 'coaching', 'learning and development', 'communication', 'influencing skills', 'strategic hiring', 'hr generalist', 'organizational design', 'performance management', 'local employment laws', 'employee development', 'problem solving', 'hr business partnering', 'counseling', 'leadership', 'recognition', 'presentation skills', 'prioritization', 'confidentiality', 'discretion', 'engagement surveys', 'relationship building', 'communication skills', 'compensation', 'time management']
HR Generalist;['flexibility', 'operational improvement', 'adaptability', 'critical thinking', 'excel', 'california employment law', 'verbal communication', 'organizational skills', 'hr coordination', 'hr generalist', 'independence', 'problem solving', 'regulatory compliance', 'process improvement', 'collaboration', 'written communication', 'prioritization', 'judgment', 'confidentiality', 'discretion', 'detail-oriented', 'analytical skills']
